재료,비율,중량,구분
셀렉티브 래트,23,115,베이스
할란2018s,22,110,베이스
닥터 시리얼,10,50,베이스
수수,5,25,탄수
통보리,5,25,탄수
파스타,6,30,탄수
채소믹스,6,30,채소
강아지 사료,6,30,베이스
볶은 병아리콩,2,10,단백질
피율무,4,20,탄수
허브믹스,4,20,채소
동결건조 연어,2,10,단백질
쌀과자,1,5,탄수
볶은아마씨,1,5,영양
영양효모,1,5,영양
치아씨드,0.8,4,영양
비타민c 보충제,0.6,3,영양
말린 파슬리,0.4,2,영양
계란껍질 분말,0.2,1,영양
