재료,비율,중량
셀렉티브 래트,20,100
할란2018s,20,100
닥터 시리얼,10,50
수수,7,35
통보리,7,35
파스타,6,30
채소믹스,6,30
강아지 사료,5,25
볶은 병아리콩,4,20
피율무,4,20
허브믹스,4,20
동결건조 연어,2,10
쌀과자,1,5
볶은아마씨,1,5
영양효모,1,5
치아씨드,0.8,4
비타민c 보충제,0.6,3
말린 파슬리,0.4,2
계란껍질 분말,0.2,1
